Course,Convener,Rank,Name,Cluster
IR509 International Relations Research Design Workshop,M,Professor,Iver Neumann,Theory
IR100 - Concepts of International Society,M,Professor,Iver Neumann,Theory
IR200 - International Political Theory,M,Fellow/Adjunct,Andrew Jillion,Theory
IR202 - Foreign Policy Analysis,M,Professor,Chris Alden,Security/Statecraft
IR203 - International Organisations,M,Associate,Uli Sedelmeier,IO/Law
IR204 International Political Economy,F,Assistant,Julia Gray,IPE
IR305/IR415 - Strategic Aspects of International Relations ,M,Professor,Christopher Coker,Security/Statecraft
IR312 - Genocide,M,Associate,Jens Meierhenrich,IO/Law
IR313- Managing China's Rise in East Asia,M,Associate,Jurgen Haacke,Regional
IR314 - Southeast Asia: Intra-regional politics and security,M,Associate,Jurgen Haacke,Regional
IR319 - Empire and Conflict in World Politics,M,Associate,Tarak Barkawi,Security/Statecraft
IR321 - Revolutions and World Politics,M,Associate,George Lawson,Security/Statecraft
"IR322: Sovereignty, Rights and justice: Issues in International Political Theory",M,Professor,Chris Brown,Theory
IR347 - Political Economy of International Labour Migration 2015-16,F,Associate,Cova Mesegeur,IPE
IR369 - Politics of Money in the World Economy 2015/16,M,Professor,Jeffrey Chwieroth,IPE
IR410 International Politics,M,Associate,Peter Wilson,Theory
IR411 - Foreign Policy Analysis,M,Professor,Toby Dodge,Security/Statecraft
IR412 - International Institutions,M,Associate,Mathias Koenig-Archibugi,IO/Law
IR416 - The EU in the World,F,Professor,Karen Smith,IO/Law
IR418 - International Politics: Asia and the Pacific,M,Professor,Chris Hughes,Regional
IR419 - International Relations of the Middle East,M,Professor,Fawaz Gerges,Regional
IR433 - The International Politics of EU  Enlargement,F,Professor,Karen Smith,IO/Law
IR434 - European Defence and Security 2015/16,M,Associate,Spyros Economides,Regional
IR436 - Theories of International Relations,M,Associate,George Lawson,Theory
IR439 - Diplomacy,M,Professor,Iver Neumann,Security/Statecraft
IR445 - China and the World,M,Professor,Chris Hughes,Regional
IR447 - Political Economy of International Labour Migration 2015-16,F,Associate,Cova Mesegeur,IPE
IR449 - Conflict and Peacebuilding,M,Fellow/Adjunct,David Rampton,Security/Statecraft
IR450 - International Political Economy MSc,M,Professor,Jeffrey Chwieroth,IPE
IR452 - Empire and Conflict in World Politics,M,Associate,Tarak Barkawi,Security/Statecraft
IR455 - Economic Diplomacy,M,Associate,Stephen Woolcock,IPE
IR461 - Islam in International Relations,M,Professor,John Sidel,Theory
IR464: The Politics of International Law,F,Fellow/Adjunct,Viviane Dittrich,IO/Law
IR466 - Genocide,M,Associate,Jens Meierhenrich,IO/Law
IR468 - The Political Economy of International Trade,M,Associate,Stephen Woolcock,IPE
IR469: Politics of Money in the World Economy 2015/16,M,Professor,Jeffrey Chwieroth,IPE
"IR481 - Europe, the United States and Arab-Israeli Relations.",F,Associate,Federica Bicchi,Regional
IR501 Methods in International Relations Research 2015-16,MF,Associate,Mathias Koenig-Archibugi/Federica Bicchi,Theory
