Total,FRatio,FWeighted,Ratio,WRatio,Convener,Rank,Cluster,Level,Core
305,52,42.999,0.170491803,0.140980328,M,Professor,Theory,Undergrad,1
410,71,63.75,0.173170732,0.155487805,M,Fellow,Theory,Undergrad,1
533,87,68.366,0.163227017,0.128266417,M,Professor,Security,Undergrad,1
803,189,152.916,0.235367372,0.190430884,M,Associate,IO/Law,Undergrad,1
83,20,14.333,0.240963855,0.172686747,M,Fellow,IPE,Undergrad,0
418,45,37.166,0.107655502,0.088913876,M,Professor,Security,Undergrad,0
26,6,6,0.230769231,0.230769231,M,Associate,IO/Law,Undergrad,0
241,26,21.5,0.107883817,0.089211618,M,Associate,Regional,Undergrad,0
252,36,31.5,0.142857143,0.125,M,Associate,Regional,Undergrad,0
121,36,31.566,0.297520661,0.260876033,M,Professor,Theory,Undergrad,0
17,0,0,0,0,M,Associate,Security,Undergrad,0
180,21,18.833,0.116666667,0.104627778,M,Associate,Security,Undergrad,0
204,36,33.666,0.176470588,0.165029412,M,Professor,Theory,Undergrad,0
81,28,20.5,0.345679012,0.25308642,F,Associate,IPE,Undergrad,0
57,5,4.5,0.087719298,0.078947368,M,Assistant,IPE,Undergrad,0
128,29,22.165,0.2265625,0.173164063,M,Associate,IPE,Undergrad,0
135,23,15.664,0.17037037,0.11602963,M,Associate,IPE,Undergrad,0
512,122,95.998,0.23828125,0.187496094,M,Professor,IPE,Undergrad,0
386,68,60.467,0.176165803,0.156650259,M,Associate,Theory,Masters,1
408,70,57.7,0.171568627,0.141421569,M,Professor,Security,Masters,0
714,232,182.811,0.324929972,0.256037815,M,Associate,IO/Law,Masters,0
389,117,101.191,0.300771208,0.260131105,F,Professor,IO/Law,Masters,0
435,48,41.333,0.110344828,0.095018391,M,Professor,Regional,Masters,0
585,77,68.333,0.131623932,0.116808547,M,Professor,Regional,Masters,0
154,62,51.747,0.402597403,0.336019481,F,Professor,IO/Law,Masters,0
124,24,22.5,0.193548387,0.181451613,M,Associate,Regional,Masters,0
358,71,64.583,0.198324022,0.180399441,M,Associate,Theory,Masters,1
111,12,11.5,0.108108108,0.103603604,M,Professor,Security,Masters,0
257,39,28.832,0.151750973,0.11218677,M,Professor,Regional,Masters,0
87,30,22.333,0.344827586,0.256701149,F,Associate,IPE,Masters,0
587,170,149.734,0.289608177,0.255083475,M,Fellow,Security,Masters,0
616,118,92.365,0.191558442,0.149943182,M,Professor,IPE,Masters,1
26,2,2,0.076923077,0.076923077,M,Associate,Security,Masters,0
56,4,3.5,0.071428571,0.0625,M,Assistant,IPE,Masters,0
212,58,42.531,0.273584906,0.200617925,M,Associate,IPE,Masters,0
402,77,67.999,0.191542289,0.169151741,M,Professor,Theory,Masters,0
267,83,70.365,0.310861423,0.263539326,F,Fellow,IO/Law,Masters,0
26,6,6,0.230769231,0.230769231,M,Associate,IO/Law,Masters,0
344,62,41.413,0.180232558,0.120386628,M,Associate,IPE,Masters,0
530,117,92.665,0.220754717,0.174839623,M,Fellow,IPE,Masters,0
257,66,60.666,0.256809339,0.236054475,F,Associate,Regional,Masters,0
516,127,99.13,0.246124031,0.192112403,MF,Associate,Theory,PhD,1
5,2,1.5,0.4,0.3,M,Professor,Theory,PhD,1
