Title,Chapter/Article Title,Author,Editor,Author Gender(s),Editor Gender(s),AutGen,EdGen,AutM,AutF,EdM,EdF,Course,Type,Importance,Year,Issue,Volume,Start Page,End Page,Publisher,Format,Time Period,Student Note
International Organization,Shocking Intellectual Austerity:  The Role of Ideas in the Demise of the Gold Standard in Britain,"Morrison, James A.",,M,,M,,1,0,0,0,IR204 - International Political Economy,Article,Essential,2016,,,,,,,Michaelmas Term 2015/16,
British Journal of Political Science,Do We Really Know the WTO Cures Cancer? False Positives and the Effects of Institutions,"Chaudoin, Stephen; Hays, Jude; Hicks, Raymond",,MMM,,MMM,,3,0,0,0,IR204 - International Political Economy,Article,Background,2016,,,,,,,Michaelmas Term 2015/16,
International Organization,The Distributional Consequences of Preferential Trade Liberalization: Firm-Level Evidence,"Weymouth, Stephen; Baccini, Leonardo; Pinto, Pablo",,MMM,,MMM,,3,0,0,0,IR204 - International Political Economy,Article,Background,2016,,,,,,,Michaelmas Term 2015/16,
Comparative Political Studies,Colonial Migration and the Deep Origins of Governance: Theory and Evidence from Java,"Pepinski, Thomas",,m,,M,,1,0,0,0,IR347 - Political Economy of International Labour Migration 2015-16,Article,Background,2016,,,,,Unpublished manuscript,,Full Year 2015/16,
Comparative Political Studies,Leadership Turnover and the Implementation of International Economic Agreements,"Gray, Julia",,f,,F,,0,1,0,0,IR368 - The Political Economy of Trade,Article,Essential,2016,,,,,Unpublished manuscript,,Lent Term 2015/16,Unpublished article under review
Australian Journal of International Affairs,Chinese views of Australian foreign policy: Not a flattering picture,"Beeson, Mark; Zeng, Jinghan",,MM,,MM,,2,0,0,0,IR445 - China and the World,Article,Essential,2016,,,1,18,,,Full Year 2015/16,
Australian Journal of International Affairs,Australian relations with China and the USA: the challenge of grand strategies,"Brown, Kerry; Bretherton, Hannah",,MF,,MF,,1,1,0,0,IR445 - China and the World,Article,,2016,1,70,1,5,,,Full Year 2015/16,
Comparative Political Studies,Colonial Migration and the Deep Origins of Governance: Theory and Evidence from Java,"Pepinski, Thomas  ",,M,,M,,1,0,0,0,IR447 - Political Economy of International Labour Migration,Article,Background,2016,,,,,Unpublished manuscript,,Michaelmas Term 2015/16,
Lobbying in EU foreign policy-making: the case of the Israeli-Palestinian conflict,,"Voltolini, Benedetta",,F,,F,,0,1,0,0,"IR481 - Europe, the United States and Arab-Israeli Relations.",Book,Background,2016,,Routledge/UACES contemporary European studies,,,Routledge,,Lent Term 2015/16,
Undertaking discourse analysis for social research,,"Dunn, Kevin C.; Neumann, Iver B.",,MM,,MM,,2,0,0,0,IR501 Methods in International Relations Research 2015-16,Book,Background,2016,,,,,,,Full Year 2015/16,
"Reflexivity and international relations: positionality, critique, and practice",,,"Amoureux, Jack L.; Steele, Brent J.",,MM,,MM,0,0,2,0,IR509 International Relations Research Design Workshop,Book,,2016,,New international relations,,,Routledge,,Michaelmas Term 2015/16,
Policies towards the Post-Soviet Space: The Eurasian Economic Union as an attempt to develop Russia's Structural Power?,Policies towards the Post-Soviet Space: The Eurasian Economic Union as an attempt to develop Russia's Structural Power?,"Cadler, David","Cadler, David; Light, Margot",M,MF,M,MF,1,0,1,1,IR202 - Foreign Policy Analysis,Book,Background,2015,,,,,,,Full Year 2015/16,
European Security,"No, prime minister: Explaining the House of Commons","Kaarbo, Juliet; Kenealy, Daniel",,FM,,FM,,1,1,0,0,IR202 - Foreign Policy Analysis,Article,Essential,2015,,,,,,,Full Year 2015/16,
The British Journal of Politics and International Relations,"Strong, James (2015) 'Why parliament now decides on war: Tracing the growth of the parliamentary prerogative through Syria, Libya and Iraq', British Journal of Politics and International Relations, 17:4, pp. 604-622.","Strong, James",,M,,M,,1,0,0,0,IR202 - Foreign Policy Analysis,Article,Background,2015,,,,,,,Full Year 2015/16,
International Affairs,"Strong, James (2015), 'Interpreting the Syria vote: Three ways parliamentary war powers shape British foreign policy', International Affairs, 91:5, September 2015, pp. 1123 _—– 1139.","Strong, James",,M,,M,,1,0,0,0,IR202 - Foreign Policy Analysis,Article,Essential,2015,,,,,,,Full Year 2015/16,
The British Journal of Politics and International Relations,"Strong, James (2015) 'Why parliament now decides on war: Tracing the growth of the parliamentary prerogative through Syria, Libya and Iraq', British Journal of Politics and International Relations, 17:4, pp. 604-622.","Strong, James",,M,,M,,1,0,0,0,IR202 - Foreign Policy Analysis,Article,Background,2015,,,,,,,Full Year 2015/16,
Frontline Ukraine: crisis in the borderlands,,"Sakwa, Richard",,M,,M,,1,0,0,0,IR202 - Foreign Policy Analysis,Book,Background,2015,,,,,I. B. Tauris,,Full Year 2015/16,
Journal of Contemporary China,Xi Jinping and the National Security Commission: policy coordination and political power,"Lampton, David M.",,M,,M,,1,0,0,0,IR202 - Foreign Policy Analysis,Article,,2015,95,24,759,777,,,Full Year 2015/16,
