,Title,Author,Editor,AutGen,EdGen,AutM,AutF,EdM,EdF,Type,Importance,Year,Publisher,Convener,Rank,Cluster,Level,Weighted,Senior,Female,single.female,single.male,Single,Top,Top.Press,two,three,female.comale,female.cofemale,Self,male.comale,male.cofemale,Male,book,article
1,Security Studies,"Sjoberg, Laura",,F,,0,1,0,0,Article,Background,2009,,M,Professor,Theory,Undergrad,1,1,1,1,0,1,0,0,0,0,0,0,FALSE,0,0,0,0,1
2,Globalization in question,"Ferguson, Yale H.; Mansbach, Richard W.","Hirst, Paul Q.; Thompson, Grahame; Bromley, Simon",MM,MMM,2,0,3,0,Book,Background,2009,Polity,M,Professor,Theory,Undergrad,0,1,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,1,1,0
3,Occupying Iraq: a history of the Coalition Provisional Authority,"Dobbins, James",,M,,1,0,0,0,Book,Background,2009,RAND,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
4,Foreign Affairs,"Walt, Stephen M",,M,,1,0,0,0,Article,Background,1999,Council on Foreign Relations NY,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
5,Bounding power: republican security theory from the polis to the global village,"Deudney, Daniel",,M,,1,0,0,0,Book,Background,2009,Princeton University Press,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
6,Review of International Studies,"Wendt, Alexander",,M,,1,0,0,0,Article,Essential,2004,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
7,Fifty key thinkers in international relations,"Griffiths, Martin",,M,,1,0,0,0,Book,Background,1999,Routledge,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
8,International Politics,"Dodge, Toby",,M,,1,0,0,0,Article,Background,2009,,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,0,1
9,Culture and security: symbolic power and the politics of international security,"Williams, Michael C.",,M,,1,0,0,0,Book,Background,2007,Routledge,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,1,0,0,0,0,FALSE,0,0,1,1,0
10,On diplomacy: a genealogy of Western estrangement,"Der Derian, James",,M,,1,0,0,0,Book,Background,1987,Blackwell Publishing,M,Professor,Theory,Undergrad,0,1,0,0,1,1,0,0,0,0,0,0,FALSE,0,0,1,1,0
